district,school_name,project_#,description,fy_constr_start,total
04,P.S. 155 - Manhattan,DSF0000674537,State of Good Repair - System Replacements - Parapets,2011,1523169
04,P.S. 155 - Manhattan,DSF0000674538,State of Good Repair - System Replacements - Exterior Masonry,2011,607965
04,P.S. 155 - Manhattan,DSF0000775871,Educational Enhancements - Educational Enhancements - Room,2013,540261
04,P.S. 171 - Manhattan,DSF0000609055,State of Good Repair - System Replacements - Paved Area-Blacktop,2013,1467417
04,P.S. 206 (TANDEM M112) - Manhattan,DSF0000698795,State of Good Repair - Building Upgrade - Flood Elimination,2011,408031
04,P.S. 206 (TANDEM M112) - Manhattan,DSF0000698798,State of Good Repair - System Replacements - Roofs,2011,2615526
04,P.S. 206 (TANDEM M112) - Manhattan,DSF0000698799,State of Good Repair - System Replacements - Parapets,2011,576587
04,P.S. 206 (TANDEM M112) - Manhattan,DSF0000698800,State of Good Repair - System Replacements - Exterior Masonry,2011,1591414
04,P.S. 206 (TANDEM M112) - Manhattan,DSF0000698805,State of Good Repair - System Replacements - Paved Area-Concrete,2011,340625
05,I.S. 10 (TANDEM M200) - Manhattan,DSF0000607188,State of Good Repair - Building Upgrade - Flood Elimination,2010,10087081
05,I.S. 10 (TANDEM M200) - Manhattan,DSF0000739131,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,1414990
05,I.S. 10 (TANDEM M200) - Manhattan,DSF0000775642,State of Good Repair - System Replacements - Domestic Piping,2014,786036
05,P.S. 30 - Manhattan,DSF0000696989,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,488895
05,P.S. 30 - Manhattan,DSF0000718084,State of Good Repair - System Replacements - Toilets-Students,2011,TBD
05,P.S. 30 - Manhattan,DSF0000731353,State of Good Repair - System Replacements - Toilets-Students,2011,TBD
05,P.S. 30 - Manhattan,DSF0000731354,State of Good Repair - System Replacements - Toilets-Students,2011,TBD
05,P.S. 30 - Manhattan,DSF0000739324,State of Good Repair - System Replacements - Domestic Piping,2013,689108
05,P.S. 30 - Manhattan,DSF0000775541,Educational Enhancements - Educational Enhancements - School Improvement and,2013,52000
